id,slug,name,price
1,audemars-piguet-royal-oak-offshore-25940sk-oo-d002ca-02-a,Audemars Piguet Royal Oak Offshore,21785
2,audemars-piguet-royal-oak-offshore-navy-26170st-oo-d305cr-01,Audemars Piguet Royal Oak Offshore Navy,22013
3,rolex-daytona-16520,Rolex Daytona,31992
4,audemars-piguet-royal-oak-offshore-panda-26170st-oo-d101cr-02,Audemars Piguet Royal Oak Offshore Panda,24470
5,audemars-piguet-royal-oak-offshore-safari-26020st-oo-d091cr-01,Audemars Piguet Royal Oak Offshore Safari,20251
6,rolex-daytona-116520,Rolex Daytona,25948
7,audemars-piguet-royal-oak-offshore-26170st-oo-1000st-01,Audemars Piguet Royal Oak Offshore,27981
8,rolex-yacht-master-ii-116680,Rolex Yacht-Master II,18721
9,audemars-piguet-royal-oak-offshore-diver-15710st-oo-a010ca-01,Audemars Piguet Royal Oak Offshore Diver,25745
10,rolex-daytona-16520-1,Rolex Daytona,34821
11,rolex-daytona-116520-1,Rolex Daytona,24439
12,audemars-piguet-royal-oak-15400st-oo-1220st-02,Audemars Piguet Royal Oak,33696
13,rolex-daytona-116515ln-2,Rolex Daytona,39046
14,rolex-daytona-116500ln-1,Rolex Daytona,28196
15,rolex-daytona-116518ln-2,Rolex Daytona,39281
16,audemars-piguet-royal-oak-selfwinding-chronograph-26240st-oo-1320st-03,Audemars Piguet Royal Oak Selfwinding Chronograph,53608
